recommendation,review,timestamp_created,author
True,感觉里面的兄弟们都挺爱转圈的,1745047955,76561198973733269
True,很好的游戏,1745047953,76561199739184900
True,"great game, alot of sweats.",1745047917,76561198324562082
True,21,1745047914,76561199641941062
True,on hyvä,1745047906,76561199682163430
False,"The dumbest videogame developers, after 20 years can't find an effective system against cheaters",1745047896,76561198214480168
True,就是热爱,1745047884,76561199638616554
False,єїїєєє,1745047771,76561199834599130
False,"a lot of liers in this fucking game, but i cant stop playing...",1745047625,76561199841399158
True,Даёт дроп,1745047567,76561199836527058
True,Под пиво пойдёт),1745047548,76561199182441618
True,I bought prime but it did not activated. They charged my card but I did not receive prime status,1745047494,76561198887673958
True,.,1745047476,76561199496211069
True,"игра говна но мне нравится
",1745047449,76561199839480256
True,me va a dejar pelado,1745047437,76561199009784515
True,好玩,1745047431,76561199789968701
True,very funny game,1745047390,76561199845389308
True,jó,1745047385,76561198303266258
True,Жёстко,1745047372,76561199839544598
True,https://steamcommunity.com/id/jL-13/inventory/#730_2_38824393599,1745047366,76561199411897513
True,ЙУОУОЙУОЙУОЙУОЙУУ,1745047358,76561198987991178
False,ебал дремал,1745047348,76561198358041077
True,shabiyouxi,1745047296,76561199513281477
True,"HHHH

",1745047175,76561199304221677
False,ееенвшсъгорпав Й,1745047164,76561199212603955
True,Ruslar şerefsizdir,1745047085,76561199435707200
True,再不优化屈死,1745047078,76561199131970817
True,Все сподобалось,1745046975,76561198128054334
True,имбааааааа,1745046970,76561199803075829
True,"好玩
",1745046967,76561199804030266
False,"Внимание! 
Вышло новое обновление  для CS2. Содержит:  ̶Н̶о̶в̶а̶я̶ ̶с̶и̶с̶т̶е̶м̶а̶ ̶б̶о̶р̶ь̶б̶ы̶ ̶с̶ ̶ч̶и̶т̶е̶р̶а̶м̶и̶.̶ ̶М̶ы̶ ̶п̶р̶е̶л̶а̶п̶а̶т̶и̶л̶и̶ ̶в̶е̶с̶ь̶ ̶д̶в̶и̶ж̶о̶к̶ ̶и̶ ̶о̶т̶в̶а̶л̶и̶л̶и̶с̶ь̶ ̶в̶с̶е̶ ̶ч̶и̶т̶ ̶п̶р̶о̶г̶р̶а̶м̶м̶ы̶.̶  Новые скины, новые скины, новые скины...
Не самая бедная компания на этой планете просто кладёт болт на борьбу с читерами в своей популярной игре.
Помню славные времена когда играл в компьютерном клубе по лану, это было весело. Сейчас же ощущение что играешь с какой то кибер спортивной командой типо navi. Некоторые читаки даже не шифруются.
Я не понимаю какой вообще смысл в выпуске CS2, я думал они там движок перелопатят что бы все чит программы отвалились, а они там шейдеры дыма настраивали. Ну молодцы.
Удалил игру.",1745046916,76561199825107815
True,uikt,1745046910,76561199845635130
True,muy bueno,1745046847,76561199808566361
True,I love gambling for a knife,1745046827,76561198086510602
True,yes,1745046810,76561198325381768
True,played for 3 hours gotta say i hate the hong kong people,1745046750,76561199848906081
False,тут одни геи,1745046692,76561199322663429
True,z,1745046685,76561199556945854
True,好,1745046668,76561199131051123
True,牛逼,1745046662,76561199340447735
True,"mega god
",1745046602,76561199244765814
True,"ну так, на минут 10 хватит, а так игрушка интересная",1745046587,76561199174107647
True,very good game,1745046507,76561199520328243
True,good game,1745046487,76561199819930698
True,666,1745046483,76561199526441793
True,哈哈,1745046435,76561199210091612
False,every player in dm is a bot farming xp,1745046329,76561199589373053
True,https://steamcommunity.com/id/donkgojo/inventory/#730_2_41640713724,1745046326,76561199077686872
True,"k....jo
",1745046285,76561199807035883
True,Game is fun until you run into a hacker. Still very fun tho,1745046275,76561198375948829
True,"Убили - упай
упай - встань
встань - упай
и иди делать уроки школьник Эб@ный",1745046236,76561199238978684
False,"Widespread use of cheats has made the game extremely un-enjoyable to play. Blatant use of wall hacks, aim hacks etc. Uninstalled.",1745046195,76561199029350243
True,https://steamcommunity.com/id/jL-13/inventory/#730_2_38824393599,1745046173,76561199312925517
True,666,1745046158,76561199746604182
True,imhmm,1745046148,76561198969238108
True,GOOD,1745046099,76561198251181112
False,傻逼游戏,1745046092,76561199238977748
True,每一把游戏感觉都不一样,1745046046,76561198156664896
True,i love the action and how real it feel great game,1745046008,76561198837403780
True,c,1745045959,76561199837597020
True,"я ебал даст 2
",1745045951,76561199510053789
True,Good game,1745045933,76561199443538792
True,"haowan
",1745045871,76561199559593805
False,игра полная дерьма,1745045798,76561199477425172
True,Oyun iyi güzelde bianda fbs düşüklüğü yaşıyorum 170-200 alırken şuan 50-60 alıyorum,1745045778,76561199528571554
True,GÜZEL BİR OYUN AMA HİLE HALA CAN SIKIYOR,1745045775,76561199496741807
True,"please lee kasih aku case yang mahalan dikit lah atau bagus kek masa dapatnya ampas mulu, sering buka case dapatnya biru hell naw",1745045769,76561198311908927
True,bel gioco,1745045734,76561199840365974
True,"好
",1745045726,76561199680438423
False,дорого стоит,1745045717,76561199839664944
True,hueta,1745045709,76561199818177290
True,没意思,1745045694,76561199836356599
True,戒不掉根本戒不掉,1745045622,76561198950913406
True,КРУТАЯ ИИИИИИИГГГГГГГГГГРРРРРРРРРРРАААААААААААААА,1745045453,76561198823236489
True,fajna szybko nauczysz sie rosyjskiego,1745045344,76561199786394103
True,好玩爱玩,1745045287,76561199754068597
